E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 7] ce_loss: 0.0681 | con_loss: 1.2680
[Epoch 7] ce_loss: 0.0787 | con_loss: 1.2778
[Epoch 7] ce_loss: 0.0691 | con_loss: 1.2530
[Epoch 7] ce_loss: 0.0684 | con_loss: 1.2447
[Epoch 7] ce_loss: 0.0785 | con_loss: 1.2474
[Epoch 7] ce_loss: 0.0715 | con_loss: 1.2590
[Epoch 7] ce_loss: 0.0732 | con_loss: 1.2627
[Epoch 7] ce_loss: 0.0717 | con_loss: 1.2702
[Epoch 7] ce_loss: 0.0668 | con_loss: 1.2550
[Epoch 7] ce_loss: 0.0624 | con_loss: 1.2393
[Epoch 7] ce_loss: 0.0598 | con_loss: 1.2586
[Epoch 7] ce_loss: 0.0825 | con_loss: 1.2702
[Epoch 7] ce_loss: 0.0649 | con_loss: 1.2421
[Epoch 7] ce_loss: 0.0627 | con_loss: 1.2455
[Epoch 7] ce_loss: 0.0651 | con_loss: 1.2542
[Epoch 7] ce_loss: 0.0662 | con_loss: 1.0382
[Epoch 7] Loss: 1.3265 | Acc: 99.94
[Epoch 8] ce_loss: 0.0606 | con_loss: 1.2439
[Epoch 8] ce_loss: 0.0570 | con_loss: 1.2399
[Epoch 8] ce_loss: 0.0600 | con_loss: 1.2402
[Epoch 8] ce_loss: 0.0646 | con_loss: 1.2708
[Epoch 8] ce_loss: 0.0577 | con_loss: 1.2487
[Epoch 8] ce_loss: 0.0603 | con_loss: 1.2454
[Epoch 8] ce_loss: 0.0555 | con_loss: 1.2394
[Epoch 8] ce_loss: 0.0564 | con_loss: 1.2473
[Epoch 8] ce_loss: 0.0599 | con_loss: 1.2402
[Epoch 8] ce_loss: 0.0615 | con_loss: 1.2547
[Epoch 8] ce_loss: 0.0588 | con_loss: 1.2658
[Epoch 8] ce_loss: 0.0551 | con_loss: 1.2489
[Epoch 8] ce_loss: 0.0526 | con_loss: 1.2412
[Epoch 8] ce_loss: 0.0552 | con_loss: 1.2555
[Epoch 8] ce_loss: 0.0588 | con_loss: 1.2470
[Epoch 8] ce_loss: 0.0535 | con_loss: 1.2440
[Epoch 8] ce_loss: 0.0583 | con_loss: 1.2446
[Epoch 8] ce_loss: 0.0514 | con_loss: 1.2471
[Epoch 8] ce_loss: 0.0527 | con_loss: 1.2619
[Epoch 8] ce_loss: 0.0510 | con_loss: 1.2443
[Epoch 8] ce_loss: 0.0495 | con_loss: 1.2447
[Epoch 8] ce_loss: 0.0515 | con_loss: 1.2499
[Epoch 8] ce_loss: 0.0547 | con_loss: 1.2383
[Epoch 8] ce_loss: 0.0516 | con_loss: 1.2427
[Epoch 8] ce_loss: 0.0542 | con_loss: 1.2490
[Epoch 8] ce_loss: 0.0508 | con_loss: 1.2429
[Epoch 8] ce_loss: 0.0517 | con_loss: 1.2683
[Epoch 8] ce_loss: 0.0576 | con_loss: 1.2740
[Epoch 8] ce_loss: 0.0489 | con_loss: 1.2382
[Epoch 8] ce_loss: 0.0529 | con_loss: 1.2575
[Epoch 8] ce_loss: 0.0465 | con_loss: 1.2357
[Epoch 8] ce_loss: 0.0547 | con_loss: 1.2501
[Epoch 8] ce_loss: 0.0477 | con_loss: 1.2353
[Epoch 8] ce_loss: 0.0495 | con_loss: 1.2364
[Epoch 8] ce_loss: 0.0540 | con_loss: 1.2690
[Epoch 8] ce_loss: 0.0493 | con_loss: 1.2561
